timestamp,zone_id,demand_mw,demand_forecast_mw,price_per_mwh,temp_c,humidity,wind_speed,precipitation
2024-01-08 19:00:00+00,NYISO,18294,18292,42.373333333333335,7.6,48,9.5,0
2024-01-08 20:00:00+00,NYISO,18375,18280,45.083333333333336,7.4,48,7.4,0
2024-01-08 21:00:00+00,NYISO,18721,18518,48.79266666666667,6.4,61,3.8,0
2024-01-08 22:00:00+00,NYISO,19511,19227,60.24066666666667,2.8,71,8.6,0
2024-01-08 23:00:00+00,NYISO,20419,20223,58.38666666666666,1.3,78,8.3,0
2024-01-09 00:00:00+00,NYISO,20273,20179,51.763333333333335,0.6,80,7.6,0
2024-01-09 01:00:00+00,NYISO,19920,19810,48.108666666666664,0.6,77,6.3,0
2024-01-09 02:00:00+00,NYISO,19343,19250,45.08266666666667,0.6,78,5.4,0
2024-01-09 03:00:00+00,NYISO,18507,18405,41.838,0.4,80,5.1,0
2024-01-09 04:00:00+00,NYISO,17469,17336,38.30533333333334,0.5,79,5.2,0
2024-01-09 05:00:00+00,NYISO,16535,16388,35.001333333333335,-1,83,7.8,0
2024-01-09 06:00:00+00,NYISO,15821,15790,32.571333333333335,-2.5,88,8.7,0
2024-01-09 07:00:00+00,NYISO,15395,15410,31.564,-1.7,88,6.5,0
2024-01-09 08:00:00+00,NYISO,15164,15180,31.275333333333332,-1.3,86,6.8,0
2024-01-09 09:00:00+00,NYISO,15087,15126,31.342666666666666,-1,87,6.3,0
2024-01-09 10:00:00+00,NYISO,15317,15325,33.726,-1.5,89,9.2,0
2024-01-09 11:00:00+00,NYISO,16128,16057,41.916000000000004,0.5,85,9.1,0
2024-01-09 12:00:00+00,NYISO,17579,17376,45.42066666666666,1,85,9.3,0
2024-01-09 13:00:00+00,NYISO,18795,18424,45.17933333333334,2.3,79,13,0
2024-01-09 14:00:00+00,NYISO,19117,18841,44.769999999999996,3.3,76,14.6,0
2024-01-09 15:00:00+00,NYISO,19291,19029,42.349333333333334,4.1,81,18,0.6
2024-01-09 16:00:00+00,NYISO,19485,19084,41.85,4.6,89,24,0.6
2024-01-09 17:00:00+00,NYISO,19632,19156,40.854,5.6,90,23,0.6
2024-01-09 18:00:00+00,NYISO,19711,19182,40.596000000000004,6.8,91,23.7,1.5
2024-01-09 19:00:00+00,NYISO,19744,19167,40.09133333333333,7.9,92,25.1,3
2024-01-09 20:00:00+00,NYISO,19777,19081,40.92866666666667,9.5,89,28.8,1.4
2024-01-09 21:00:00+00,NYISO,19891,19138,41.477333333333334,10.3,88,29.9,0.7
2024-01-09 22:00:00+00,NYISO,20358,19579,44.54266666666667,11,88,32.1,3.9
2024-01-09 23:00:00+00,NYISO,20668,20085,42.986666666666665,11.7,90,32.6,3.5
2024-01-10 00:00:00+00,NYISO,20344,19708,39.20466666666667,12.3,90,39.8,1.7
2024-01-10 01:00:00+00,NYISO,19712,19169,35.81933333333333,13.5,91,36.7,4.7
